date,headline_text,primary_category,categories,is_market_prices,is_supply_geopolitics,is_consumer_fuel,market_match_rule,supply_match_rule,consumer_match_rule,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_label
2003-12-16,pm outlines fuel excise overhaul,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-12-16,seafood industry fishes for cheaper fuel,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_level,0.0,0.0,0.0,1.0,neutral
2003-12-17,diesel shortage limits cfa operations,supply_geopolitics,supply_geopolitics,False,True,False,,fuel_shortage_security,,-0.25,0.0,0.333,0.667,negative
2003-12-17,fed govt releases bio fuel excise policy,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-12-18,mp worried about diesel shortage rural impact,supply_geopolitics,supply_geopolitics,False,True,False,,fuel_shortage_security,,-0.4939,0.0,0.457,0.543,negative
2003-12-18,vff seeks good oil on addressing fuel shortage,supply_geopolitics,supply_geopolitics,False,True,False,,fuel_shortage_security,,0.2263,0.266,0.183,0.55,positive
2003-12-23,libya invites us oil companies back,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.0,0.0,0.0,1.0,neutral
2003-12-23,shale oil plant report raises health concerns,supply_geopolitics,supply_geopolitics,False,True,False,,shale_oil,,0.0,0.0,0.0,1.0,neutral
2003-12-30,public awaits qld govts shale oil response,supply_geopolitics,supply_geopolitics,False,True,False,,shale_oil,,0.0772,0.178,0.0,0.822,positive
2004-01-02,security alert shuts down key us oil terminal,supply_geopolitics,supply_geopolitics,False,True,False,,oil_infrastructure_disruption,,0.5574,0.434,0.0,0.566,positive
2004-01-09,oil company shares resume trade,market_prices,market_prices;supply_geopolitics,True,True,False,oil_and_financial_market,oil_industry_projects,,0.296,0.355,0.0,0.645,positive
2004-01-13,oil firms accused of ripping off motorists,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,-0.296,0.0,0.268,0.732,negative
2004-01-14,high petrol prices fuel farm group frustration,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.4767,0.0,0.341,0.659,negative
2004-01-21,oil company novus announces profit jump,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.4404,0.367,0.0,0.633,positive
2004-01-22,further fuel subsidy changes to come govt,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2004-01-24,oil company cleared of burma rights abuses,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,-0.4939,0.14,0.36,0.5,negative
2004-01-31,megawati quiet on iraq oil voucher claims,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_country,,0.0,0.0,0.0,1.0,neutral
2004-02-02,nrma questions petrol prices,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2004-02-03,nrma calls for fuel price investigation,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2004-02-11,opec slashes oil output,supply_geopolitics,supply_geopolitics,False,True,False,,opec,,-0.2023,0.0,0.375,0.625,negative
2004-02-13,us firm buys qld shale oil company,supply_geopolitics,supply_geopolitics,False,True,False,,shale_oil,,0.0,0.0,0.0,1.0,neutral
2004-02-14,us firm buys oil company spp,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.0,0.0,0.0,1.0,neutral
2004-02-17,big oil reserves found in surat basin,supply_geopolitics,supply_geopolitics,False,True,False,,oil_core_supply,,0.0,0.0,0.0,1.0,neutral
2004-02-28,supply concerns drive oil prices up,market_prices,market_prices,True,False,False,oil_price,,,0.0,0.0,0.0,1.0,neutral
2004-03-06,oil price hits post iraq war high,market_prices,market_prices;supply_geopolitics,True,True,False,oil_price,oil_geopolitical_event,,-0.5994,0.0,0.394,0.606,negative
2004-03-17,oil price breaks post iraq war high,market_prices,market_prices;supply_geopolitics,True,True,False,oil_price,oil_geopolitical_event,,-0.5994,0.0,0.394,0.606,negative
